1,49
2,31
3,36
4,26
5,27
6,31
7,68
8,60
9,59
10,81
11,100
12,55
13,28
14,36
15,72
16,34
17,27
18,51
19,31
20,51
21,38
22,34
23,23
24,29
25,38
26,57
27,23
28,31
29,22
30,84
31,42
33,1
39,1
40,2
41,2
45,3
49,1
50,1
52,1
53,4
55,1
56,2
57,1
61,2
62,1
72,4
79,1
82,1
85,1
86,1
88,1
90,2
91,1
93,1
95,2
97,1
98,2
111,1
135,1
136,1
154,1
155,1
180,2
301,1
450,2
600,1
850,1
1000,1
1070,1
1200,1
1236,1
1278,1
1603,1
1725,1
1772,1
1795,1
1814,1
1819,1
1822,1
1843,1
1863,1
1865,2
1872,1
1885,1
1886,1
1898,1
1902,1
1904,2
1910,1
1914,1
1919,1
1920,1
1921,3
1924,1
1929,1
1941,1
1942,2
1944,1
1945,8
1946,1
1947,2
1948,2
1953,2
1955,1
1958,2
1959,3
1960,4
1961,2
1962,8
1963,3
1965,2
1967,2
1969,1
1970,3
1972,3
1973,4
1974,4
1975,1
1976,2
1977,3
1978,2
1979,5
1980,2
1981,5
1982,2
1983,3
1984,11
1985,1
1986,3
1987,8
1988,6
1989,10
1990,14
1991,18
1992,6
1993,8
1994,14
1995,23
1996,12
1997,13
1998,18
1999,18
2000,45
2001,83
2002,47
2003,154
2004,92
2005,60
2006,62
2007,90
2008,92
2009,63
2010,61
2011,33
2012,1
2013,2
2014,1
2023,1
9885,1
11705,1
of,381
,,174
stone,1
age,1
-,184
century,120
friday,42
saturday,51
to,100
wednesday,34
quarter,26
march,34
detention,3
thursday,47
his,1
utc,9
anniversary,38
decades,39
end,3
morning,60
than,23
three,48
coalition,1
parliamentary,11
vote,18
birthday,6
celebration,1
time,36
starting,1
date,8
november,35
from,11
more,13
seven,3
nine,6
day,133
and,199
july,35
olympics,12
sunday,65
eight,11
later,12
19th,8
half,33
noumea,1
accord,2
fifth,1
then,3
monday,38
afternoon,26
between,9
tuesday,31
june,28
two,81
infected,2
balloting,2
ceremony,4
four,15
five,20
night,85
august,37
april,24
straight,14
coup,2
30th,7
15th,6
election,46
first,11
evening,38
term,13
seventh,5
apartheid,1
in,60
's,19
dresden,1
that,30
about,5
80s,2
prison,6
pakistan,2
holy,10
ramadan,13
before,15
koreas,14
1970s,1
holiday,22
a.m.,8
srebrenica,3
darfur,1
11th,5
today,10
february,11
one,15
second,5
world,17
championship,1
december,25
kosovo,1
the,3
busiest,1
costliest,1
or,9
six,26
b.c.,6
january,55
over,4
may,21
operation,2
spear,1
christmas,2
afghanis,1
14th,2
decade,17
mission,9
several,6
16th,7
winter,2
mail,1
year,2
eve,8
melt,1
bali,8
20-17,1
session,2
period,11
ending,1
september,20
each,4
october,18
u.s.-led,7
party,5
centuries,11
martyrdom,1
imam,1
hussein,1
tehran,2
okay,1
airways,1
baltic,1
war,17
good,4
millennium,2
17th,2
mumbai,1
unrest,1
cups,1
madrid,3
dayton,8
peace,7
accords,3
geneva,1
29th,1
poll,4
prosecutor,2
detlev,1
mehlis,1
falklands,1
few,17
through,21
this,1
during,4
o'connor,8
egypt,3
now,3
townships,1
greeting,1
matches,1
8th,4
one-day,1
fierce,2
31st,5
telegraph,3
release,2
carlo,1
rally,1
dutch-built,1
fort,1
jun,1
take-over,2
mandate,1
weekend,4
indonesia,1
palace,1
first-round,2
berlin,1
mid-2004,1
cease-fire,9
miillion,1
anti-sikh,2
riot,1
9th,1
six-day,3
meetings,3
ninth,5
mine,1
until,11
tatev,1
monastery,1
uprising,1
peacekeeping,1
1980s,5
beginning,2
season,7
12th,2
shantytown,1
p.m.,8
local,1
summit,4
rush,2
hour,2
un-brokered,1
sunny,1
kick-off,1
maoist,1
start,1
treaty,2
tunisia,1
violence,8
square,4
tour,3
female,1
bosnia-herzegovina,1
20th,5
mourning,2
rounds,1
multi-party,1
postseason,1
since,18
three-month,1
prayer,1
attacker,1
almost,1
palestinian,2
run-off,2
invasion,5
regions,1
trek,1
cardiovascular,1
disease,1
65th,1
un,1
76th,1
forum,1
languages,1
baghdad,2
massacre,1
8,000,1
muslim,3
mosque,3
recession,2
officially,1
orange,3
revolution,8
wimbledon,2
finalist,1
quake,2
1990s,3
african,1
federation,1
militants,1
consecutive,5
pullout,1
fiscal,3
street,3
captivity,2
arab-israeli,1
nap,1
amazon,1
islamic,4
80th,1
alex,1
warfare,2
shuttle,1
tiananmen,2
pro-democracy,2
fatah,1
06-apr,2
0-6,1
dateline,1
recess,2
third,4
26-31,1
ecuador,2
earthquake,3
purely,1
administrations,1
billion,5
fy10,1
socialism,1
power-sharing,1
est,1
nov.,1
bird,1
flu,1
eighth,1
film,1
neighborhood,1
beirut,2
all,3
demolition,1
babri,1
e-mail,1
triggering,1
10th,5
its,4
stadium,1
by-election,1
7th,1
ukraine,1
23rd,1
regardless,1
working-age,1
wild,2
algeria,1
overs,1
pyongyang,2
13th,2
belgium,1
thanksgiving,3
us-canada,1
deficit,1
surplus,1
israel-palestinian,1
oslo,1
25th,1
biennial,1
couple,2
equals,1
marriage,2
christ,1
monitor,1
listing,1
beslan,1
mass,2
djibouti,1
kingdom,1
dispute,1
yesterday,1
effectively,1
moratorium,1
fasting,2
festivities,1
wickets,1
gunbattles,1
predecessor,1
parallel,1
guyana,1
1930s,1
centimeters,1
kashmir,1
school,1
occupation,3
referendum,6
devastating,1
wars,1
belt,1
pathologically,1
3rd,1
27-28,1
%-plus,1
eid,4
al-fitr,3
suburb,1
24th,1
byelection,1
moscow,3
uganda,1
haiti,2
reduction,1
28th,1
khz,4
