of,25137
through,486
in,27918
from,4456
with,5447
as,3804
at,4692
while,613
on,7090
over,1120
after,2736
if,718
that,3868
by,4504
during,1213
for,8368
out,340
than,1847
against,1253
to,140
so,57
before,668
since,966
behind,113
under,751
because,620
among,436
about,1461
across,317
within,171
around,296
toward,153
along,303
into,1159
between,981
near,869
-,375
whether,221
per,162
:,55
outside,292
until,342
--,24
off,127
despite,254
including,3
like,103
inside,82
without,268
towards,58
amid,105
although,136
though,61
upon,89
next,22
instead,16
ago,20
onto,21
unless,84
aboard,30
via,14
alongside,20
below,57
up,58
throughout,83
down,30
beyond,27
besides,6
once,6
unlike,7
except,20
beside,5
atop,9
above,52
beneath,20
past,12
versus,4
en,8
worth,3
albeit,1
plus,4
amidst,1
e.g.,1
underneath,2
till,1
but,1
round,1
thereupon,1
whereas,1
neither,1
amongst,1
