520,1
such,383
annual,136
southern,619
continued,58
anti-war,13
other,1457
second,379
low-level,13
nuclear,1055
sealed,2
sensitive,30
full,130
new,1485
armed,182
oil-rich,21
offshore,41
militant,328
social,82
multinational,15
poor,137
huge,79
tribal,150
suspected,382
islamist,24
interim,132
clear,183
local,417
military,1353
northern,528
many,482
last,1953
successful,43
parliamentary,257
recent,456
previous,97
political,724
so-called,69
independent,165
hardline,13
islamic,179
public,312
decent,5
six-party,33
religious,147
provincial,107
proposed,13
sure,30
weekly,65
draconian,2
former,1019
black,54
bulky,2
paroled,1
six-year,7
unidentified,72
semi-autonomous,17
prominent,64
senior,223
sordid,1
top,483
civilian,185
ready,111
available,55
direct,77
national,354
small,238
worldwide,69
controversial,108
multi-billion,4
logistical,19
long,93
several,814
congressional,52
shoddy,3
much,61
major,381
chief,78
important,126
good,124
consistent,9
harmonious,3
private,142
permanent,79
medium,7
regional,172
little,64
one-stop,1
streamlined,1
only,88
non-governmental,20
official,257
formal,63
western,311
due,203
dead,280
alleged,199
islamist-controlled,1
medical,165
isolated,13
irrationality,1
third,202
nearby,92
few,84
separate,279
central,331
eastern,257
nato-led,34
early,341
cold,14
past,48
intoxicated,2
homeless,30
nordic,5
overnight,32
deadly,248
27-year,3
old,79
late,461
positive,77
avian,56
insurgent,120
heavy,184
internationally-recognized,3
regular,31
loyal,33
fallen,5
u.s.-brokered,2
slow,43
next,593
israeli-palestinian,33
possible,254
34-day,6
general,78
washington-based,6
enough,51
weapons-grade,10
capable,22
normal,31
chronic,9
consular,10
ibero-american,4
final,238
hamas-led,29
problematic,3
rival,81
ceremonial,8
sixth,27
fuel-efficient,9
liable,3
60-year,1
postal,9
responsible,118
popular,96
long-term,52
first,847
true,16
pregnant,7
25-year-old,13
rock,1
guilty,96
four-day,6
wrong,29
single,47
loved,1
drunk,4
southeastern,95
republican,44
powerful,77
open,80
safe,65
one-seat,3
80-year-old,5
significant,96
vital,22
16-year-old,7
32-year-old,6
infected,35
global,311
potential,63
muslim-majority,7
anti-japanese,10
violent,129
calm,5
orderly,4
champion,5
low,86
friendly,19
renewable,10
olympic,13
select,1
critical,76
giant,24
