war,720
withdrawal,154
country,1926
conflict,244
number,460
terrorist,26
parliament,446
rally,92
protest,124
eve,22
conference,242
seaside,3
resort,63
party,500
participation,33
deployment,51
march,22
today,3
day,406
resumption,18
uranium,172
conversion,21
week,1319
process,233
plant,104
access,123
surveillance,51
system,264
step,67
facility,114
capacity,53
backing,18
treaty,61
fuel,216
program,551
insult,6
nation,338
oil,1085
raid,135
boat,62
region,852
official,484
firm,75
supply,72
field,56
sub-contractor,1
job,76
bulk,14
petroleum,37
mortar,39
palace,14
president,869
attack,927
news,652
compound,62
government,3079
reconciliation,46
city,961
offensive,140
province,915
north,170
stronghold,59
violence,741
soldier,250
patrol,117
opposition,558
runoff,42
spokesman,722
attempt,141
punishment,13
strength,39
total,68
candidate,174
majority,194
round,141
voting,75
allegiance,7
law,271
correctness,2
morality,1
police,700
behavior,20
coalition,477
assembly,65
bill,150
vote,395
governor,109
formality,3
force,336
entertainment,7
measure,118
rule,139
man,384
suicide,419
bomber,214
demonstration,40
publication,17
parole,5
investigation,243
cap,3
belt,10
offender,1
cause,65
concern,150
prison,284
year,1501
sentence,68
drug,198
dealing,1
minister,625
leader,871
vehicle,190
area,490
driver,80
elder,13
one,71
responsibility,258
ambush,33
commander,169
army,335
refuge,21
chapter,6
proliferation,11
scientist,22
sale,54
background,8
briefing,12
group,1210
clandestine,1
network,136
technology,95
market,226
house,204
arrest,183
father,73
bomb,683
dollar,95
contract,54
company,402
support,344
list,112
communication,18
military,636
work,211
money,214
re-bidding,1
chance,50
report,732
summit,224
energy,277
security,1203
climate,55
change,97
investment,157
economist,13
role,188
thing,11
business,168
leadership,79
trade,326
facilitation,2
sector,206
body,151
perspective,4
range,55
need,67
efficiency,11
conservation,10
cooperation,143
bit,15
quarantine,8
shop,14
immigration,58
certainty,2
dialogue,66
meeting,471
same,8
cease-fire,78
decision,263
truce,67
head,285
rebel,229
village,159
aid,455
relief,189
connection,114
island,259
headquarters,78
series,259
counter-terrorism,23
death,500
extremist,39
bombmaker,4
month,1047
nun,5
bodyguard,17
hospital,234
shooting,68
muslim,36
anger,23
school,121
class,24
suspect,88
event,103
pope,99
motive,22
offense,8
century,29
emperor,7
evil,6
world,750
northwest,33
helicopter,110
checkpoint,79
counter-attack,2
border,610
fighting,248
militant,113
peacekeeping,79
mission,227
bloodshed,13
wave,54
weather,94
toll,151
emergency,193
exposure,13
hypothermia,1
agency,586
minus,3
power,516
rationing,1
effect,77
health,362
strain,201
bird,498
flu,560
virus,352
home,393
person,136
influenza,19
clash,99
fire,312
movement,124
negotiator,44
document,70
progress,131
peace,571
accord,76
hope,59
deal,317
office,288
agreement,395
miracle,3
room,23
resignation,81
statement,717
post,119
chief,346
staff,97
request,106
