protest,114
demand,45
stop,249
hold,198
respond,47
get,158
allow,206
operate,22
refer,24
impose,43
end,168
inspect,13
go,154
say,91
participate,40
prepare,30
cut,100
cast,10
ensure,65
enforce,14
sign,58
make,286
be,2530
put,56
build,144
sell,43
renew,22
provide,162
compete,26
finalize,8
do,148
tell,18
improve,90
encourage,39
include,80
discuss,268
enhance,11
talk,25
want,33
quarantine,1
present,27
order,6
withdraw,92
have,614
avoid,82
hunt,17
rise,48
hover,1
die,22
help,440
push,43
contain,45
replace,87
begin,168
elaborate,22
take,393
leave,128
produce,66
manage,10
live,31
restore,61
reopen,19
head,30
kill,114
fire,22
recognize,49
create,94
warn,7
pay,84
apologize,6
retire,8
seek,86
protect,91
expand,58
rebuild,43
mutate,16
spark,16
prove,17
see,79
soothe,1
draw,25
drive,19
normalize,4
arrange,8
come,54
secure,50
use,141
evacuate,19
start,45
ease,49
inflate,1
maintain,60
try,98
mend,3
follow,38
harm,20
interfere,10
issue,24
continue,202
review,34
count,5
flare,2
disperse,21
run,100
keep,123
become,91
bet,1
unveil,3
cost,22
total,2
cancel,18
stay,61
track,8
punish,22
sabotage,7
launch,58
visit,119
fund,29
return,154
fly,20
rein,6
tip,1
carry,72
prevent,140
strike,19
attack,59
resolve,82
form,83
support,98
face,118
resume,120
march,6
accept,66
reach,106
chart,3
give,186
reveal,13
block,31
contradict,2
jeopardize,5
allay,1
hurt,25
understand,9
like,18
investigate,56
speak,36
recommend,8
bring,144
fall,34
cooperate,54
deal,45
plant,5
establish,45
train,18
enter,66
ask,41
propose,9
know,41
confirm,38
function,3
act,33
imply,2
remain,95
hit,30
recover,40
collect,9
curb,28
apply,16
administer,3
export,8
surrender,25
register,16
feed,18
prefer,3
drag,4
orbit,1
violate,14
hijack,6
safeguard,5
shield,3
preserve,11
store,4
deposit,1
reserve,2
intimidate,5
offer,39
win,96
maneuver,1
detect,11
dig,9
find,81
patrol,7
control,47
confront,11
converge,1
tombstone,1
increase,115
vote,68
choose,25
mourn,4
happen,11
conduct,38
show,66
prompt,4
consider,67
stem,18
discourage,7
raise,82
announce,33
donate,12
treat,14
work,134
dismiss,18
tighten,13
lead,100
verify,10
predict,5
occur,4
relinquish,1
scare,5
deluge,1
strengthen,70
determine,60
welcome,14
account,9
attend,96
abandon,36
flee,28
revamp,2
add,11
change,56
invest,14
safety,1
escape,31
cross,23
disembark,2
pre-empt,1
testify,9
regulate,8
travel,90
suspend,49
develop,120
press,31
exist,13
stage,10
answer,11
urge,21
name,20
meet,333
focus,68
step,43
result,15
profit,1
gain,37
confer,3
install,14
generate,21
light,5
set,69
derail,17
eliminate,18
challenge,9
share,35
symbolize,1
resign,43
storm,1
call,62
suppress,5
comply,23
look,31
decide,48
speed,17
coordinate,20
release,89
free,28
crack,19
host,34
justify,9
abide,7
cause,43
syphon,1
exaggerate,1
receive,51
pursue,36
specify,15
target,27
rehabilitate,2
reduce,93
cease,7
spend,22
disarm,36
display,3
disprove,1
arrive,31
research,2
last,18
number,3
close,62
extend,50
foil,2
govern,6
boycott,20
submit,14
inform,12
report,38
convince,10
assure,4
clear,26
send,91
fight,96
capitalize,2
liberalize,4
attract,16
revive,25
transfer,12
assume,14
possess,7
heaven,1
abound,1
discern,1
judge,1
acknowledge,8
overcome,18
question,18
pose,8
reunite,8
shut,20
belong,4
worship,2
break,38
remove,37
throw,9
waste,1
hammer,3
agree,63
demonstrate,13
wade,1
contaminate,1
warrant,2
force,34
revise,5
combat,40
pass,47
hand,40
identify,40
sanction,2
defeat,20
benefit,16
contribute,16
uphold,4
expire,16
comment,35
invade,8
lift,29
drink,10
jail,1
revoke,1
decrease,4
open,53
initiate,5
prop,3
conform,3
instill,4
flow,3
grab,3
destroy,35
deploy,22
burn,8
battle,11
refuel,1
describe,5
rally,6
believe,20
reorganize,2
emerge,10
negotiate,39
drain,1
mean,13
abuse,5
monitor,44
blame,15
affect,29
advance,23
egypt,2
oppose,20
revitalize,5
achieve,19
dissolve,9
influence,8
appear,40
remember,13
watch,16
promote,57
demolish,4
fail,9
honor,18
reform,18
back,24
adjourn,3
move,73
detonate,10
quit,24
fracture,1
apprehend,1
scout,1
mention,13
transform,5
join,112
injure,3
observe,14
claim,9
discover,5
outdo,1
halt,40
authorize,10
underestimate,1
loosen,1
strive,2
sway,2
capture,13
arrest,21
play,64
assassinate,11
respect,22
reinstate,7
deliver,36
intend,4
boost,82
repair,13
repeat,3
disrupt,34
turn,36
select,8
convene,3
slide,2
concern,2
penetrate,2
damage,9
express,16
read,4
pressure,19
overthrow,31
decline,10
buy,70
upset,4
perform,9
pick,18
defend,47
prolong,3
