joined,91
carried,101
marched,48
put,57
claimed,146
was,4878
came,392
restarted,5
said,4970
were,3520
stopped,47
sailed,4
occurred,192
hit,163
killed,883
wounded,235
won,176
dressed,2
sought,33
told,637
became,180
admitted,13
operated,10
announced,303
accused,136
left,198
ended,142
worked,53
feared,17
attacked,151
finished,43
deplored,4
hoped,15
angered,17
meant,7
quoted,46
brought,58
pounded,10
launched,91
stormed,45
found,185
had,1463
died,384
tested,24
fell,153
erupted,76
returned,94
deployed,9
agreed,187
did,412
resumed,39
declined,73
broke,142
took,438
severed,7
pardoned,6
targeted,53
began,438
kidnapped,33
spoke,132
caused,101
argued,18
rejected,98
failed,111
withdrew,56
showed,111
doubled,8
called,623
destroyed,61
damaged,19
started,63
reported,174
kept,26
turned,76
went,176
crashed,45
obtained,14
refused,74
created,17
gave,118
made,363
forced,71
remained,43
touched,8
added,121
issued,151
increased,36
earned,19
decided,46
reacted,8
met,255
rose,114
responded,37
signed,150
fended,1
closed,45
curtailed,3
evolved,2
ruled,71
fired,177
nominated,11
blanketed,2
blew,79
vowed,34
declared,91
reached,79
helped,77
sent,56
fought,37
injured,24
confessed,9
walked,27
stripped,2
triggered,38
knew,11
warned,127
cut,46
validated,1
notarized,1
fled,101
thanked,24
tried,109
demonstrated,16
published,15
recovered,20
managed,23
provided,41
approved,94
collapsed,40
suspended,44
suffered,59
named,32
urged,177
flared,5
denounced,22
arrested,9
captured,68
scrapped,2
released,100
imposed,38
exploded,158
advised,10
detained,69
listed,5
displaced,22
held,133
assassinated,2
soared,18
flattened,3
condemned,57
ordered,112
entered,90
escaped,56
underlined,1
promised,57
sparked,57
changed,15
formed,24
emerged,17
reestablished,1
spurred,3
stimulated,2
passed,65
required,5
produced,13
slowed,18
recorded,10
resulted,43
pressured,6
surpassed,4
boosted,11
shut,35
snowed,1
fed,3
set,77
led,156
scampered,2
scolded,3
treated,7
heard,18
saw,70
cried,5
kicked,11
administered,3
happened,65
reversed,7
seized,123
punished,1
uncovered,6
paid,33
placed,21
spent,40
confirmed,145
identified,28
grounded,5
shouted,8
defied,9
prevented,15
gathered,62
leveled,2
allocated,3
used,99
traded,1
assailed,1
celebrated,20
paved,5
immigrated,2
learned,11
realized,7
cashed,1
adopted,27
netted,2
pledged,69
voted,109
moved,41
doled,1
welcomed,24
devastated,18
collided,7
chaired,2
stepped,37
upheld,8
spilled,6
submerged,4
inundated,3
expressed,129
missed,22
based,10
charged,24
questioned,22
shook,14
ran,30
jolted,4
sank,9
originated,6
capsized,6
estimated,8
served,60
followed,59
tore,14
cited,31
visited,92
observed,13
dominated,17
hosted,11
telephoned,5
conveyed,3
challenged,7
rolled,6
ousted,44
appeared,91
raided,44
rallied,18
beat,28
arrived,116
implicated,5
lied,1
praised,58
planned,34
opened,148
offered,45
included,82
reduced,18
marked,27
predicted,21
witnessed,10
burned,23
churned,1
slammed,10
cancelled,3
cheered,7
worsened,6
respected,1
wrested,1
raged,5
suggested,29
stressed,42
referred,21
broadcast,13
focused,26
received,100
repeated,29
described,69
got,40
proclaimed,8
sentenced,21
resigned,57
pleaded,23
bought,20
resold,1
struck,98
measured,5
squared,1
rammed,18
violated,13
searched,18
pressed,7
settled,9
sustained,16
rebounded,13
improved,12
eroded,2
dropped,64
wafted,1
asked,92
entreated,5
granted,25
decreed,2
shelled,3
ambushed,37
narrowed,4
sang,8
deemed,7
disappeared,34
greeted,11
assessed,1
shot,95
clashed,16
exchanged,7
rebuked,1
designed,3
retrieved,1
derailed,3
plunged,30
criticized,69
indicted,17
planted,7
blamed,58
sanctioned,1
directed,11
evacuated,6
assaulted,3
fueled,2
achieved,15
wanted,47
housed,6
built,8
raised,50
chanted,17
molested,2
testified,6
threatened,58
alleged,21
completed,11
thought,19
demobilized,1
committed,12
dispatched,8
underwent,27
traveled,44
denied,72
filed,27
split,16
lost,96
canceled,23
attended,44
proceeded,5
noted,39
flocked,1
sounded,3
surfaced,8
insisted,19
lay,11
conducted,22
bordered,1
defended,22
indicated,28
grabbed,3
snatched,4
chased,8
acted,17
sabotaged,2
defeated,29
scored,43
weakened,9
partitioned,1
regained,9
enabled,6
maintained,7
swung,1
occupied,26
continued,85
established,29
ridiculed,2
reasoned,1
endeavoured,1
attracted,10
solicited,1
relied,1
surrendered,21
expanded,8
re-opened,5
tasked,2
removed,24
recommended,11
sponsored,5
purchased,8
ranked,12
inked,2
detonated,51
avoided,4
battled,16
forbid,3
ignored,10
aired,18
co-chaired,1
test-fired,5
assumed,27
authorized,8
confiscated,11
staged,29
strayed,6
dismissed,45
submitted,13
sued,2
printed,9
speculated,3
reaffirmed,13
underscored,3
appealed,23
lasted,17
hovered,1
sold,23
acquired,8
counted,3
saved,5
decimated,1
grew,52
conquered,2
incorporated,1
deposed,7
suppressed,2
convened,5
approached,16
exclaimed,7
hung,2
discovered,38
swept,26
skipped,2
flew,34
delayed,11
bowled,2
batted,1
looked,10
encouraged,15
explained,5
