have,4872
say,4083
expect,46
are,3721
attack,8
complain,9
adhere,1
include,189
think,13
make,43
represent,16
reckon,1
agree,11
blame,28
continue,112
show,107
suffer,9
learn,1
provide,11
fear,57
get,12
hope,34
resume,4
come,72
enjoy,8
worship,1
prove,2
violate,15
regret,1
accuse,59
deny,19
insist,7
plan,49
report,33
date,2
carry,11
believe,109
predict,13
preach,1
belong,10
pose,12
do,130
grow,6
mean,6
become,10
stop,6
renounce,1
range,3
hold,22
vary,3
begin,15
go,21
flock,1
travel,4
contain,8
fight,3
use,26
invest,1
work,16
swam,2
attempt,3
rely,13
face,41
quote,22
perform,1
want,134
regard,4
apply,2
find,12
compete,4
die,14
remain,141
return,3
appear,16
call,45
describe,9
enter,9
proceed,1
offer,4
take,31
need,47
indicate,49
know,10
read,3
kill,8
account,14
feel,4
generate,4
contribute,12
conform,2
claim,24
threaten,10
suggest,9
turn,5
realize,1
try,12
accept,4
suspect,48
target,6
leave,7
overthrew,5
run,5
tighten,1
give,19
increase,3
keep,6
mark,2
involve,5
view,9
tell,11
track,7
require,7
exceed,3
gather,8
lead,9
live,31
end,2
participate,3
move,4
consider,16
control,16
host,5
aim,2
mount,2
manufacture,2
halt,2
follow,17
reports,2
argue,14
reside,1
play,8
prepare,10
allege,14
reach,11
seek,8
engage,2
ate,2
migrate,1
limit,2
produce,5
commit,3
create,6
favor,10
classify,8
constitute,5
look,4
back,4
cite,3
shelter,1
hurt,5
weigh,2
depend,8
coexist,2
warn,19
help,9
've,3
conduct,7
lack,10
torture,1
affect,5
oppose,35
cut,3
meet,16
intend,4
press,2
visit,3
rise,3
benefit,2
sit,3
earn,2
stand,6
support,25
worldwide,2
open,5
receive,14
approve,5
estimate,9
stole,4
weather,1
reflect,10
undermine,3
buy,7
pay,9
online,1
recognize,7
promote,2
wear,3
bring,4
locate,1
aid,2
am,16
hit,2
focus,4
drive,2
crave,1
select,1
convert,2
top,3
attribute,1
harbor,1
form,1
learnt,1
win,4
reject,4
differ,3
fascinate,1
seem,5
impede,3
hinder,1
spend,3
rank,1
place,1
lie,1
fit,4
commemorate,2
choose,4
serve,8
commander,1
march,3
hire,1
operate,7
share,9
object,6
fail,14
stem,5
trickle,1
'm,9
cross,6
disable,1
present,1
constrain,1
doubt,3
await,3
detail,1
cover,2
drink,1
lose,3
burnt,1
clear,1
formalize,1
rode,1
watch,9
treat,1
exclude,1
appreciate,1
deal,2
export,2
speak,4
occur,4
allow,13
hast,1
root,1
stay,3
suspend,1
criticize,3
celebrate,10
extend,2
see,13
fly,2
retain,2
pray,2
please,1
build,3
caution,1
refuse,2
perceive,1
wait,3
confirm,7
cater,1
sell,9
mistook,1
fall,5
pass,2
vow,1
hamper,1
desire,2
opt,1
block,2
protect,3
smoke,2
lag,1
deserve,6
wish,2
launch,2
border,1
acknowledge,3
speculate,3
jump,1
originate,1
expire,3
cause,4
luge,1
join,2
spread,1
strike,1
sun,1
miss,2
assume,1
defend,1
assess,1
inhale,1
bear,3
observe,3
break,2
ban,2
persist,2
slit,2
raise,4
ravage,1
kidnap,2
supply,2
talk,1
exist,6
release,2
maintain,4
consist,2
forgot,2
conflict,1
start,1
chide,1
lift,1
contend,3
steal,1
result,1
add,4
restrict,1
disarm,1
fire,1
approach,2
burn,2
swim,1
restructure,1
wonder,1
grudge,1
vie,1
burst,3
underway,1
submit,2
boost,1
match,1
overcame,2
confront,1
remove,1
issue,2
combine,1
outrun,1
ai,1
develop,3
identify,2
reduce,4
emerge,1
refer,2
point,6
risk,1
venture,1
amount,2
remember,1
divide,3
process,1
theorize,1
round,1
lay,1
question,2
decide,2
transfer,2
grant,1
overran,1
challenge,2
dispute,4
aspire,1
chart,1
chain,1
hand,1
improve,2
pump,1
admit,2
charge,4
pull,3
line,1
owe,4
worry,10
note,3
barack,1
love,2
push,2
light,2
're,4
rest,1
paint,3
recover,2
rule,1
term,1
cooperate,1
dominate,5
profane,1
disagree,3
battle,4
tribunal,1
airlift,1
total,2
attend,1
sing,1
anticipate,2
encourage,2
scan,1
censor,1
destitute,1
swept,1
legend,1
assassinate,1
organize,1
instigate,1
re-enter,1
rethink,1
dot,1
succumb,1
insult,1
adopt,1
fade,1
patrol,2
clad,1
merge,1
own,1
suppose,1
underscore,2
occupy,1
wallow,1
spit,1
ignore,1
happen,1
emphasize,1
seize,1
weaken,1
determine,1
register,1
sponsor,1
achieve,2
display,1
slick,1
flow,1
collapse,3
breed,1
thuggish,1
put,3
designate,1
froze,1
let,1
adapt,1
blend,1
culminate,1
head,1
prevent,2
furnish,1
brace,1
deliver,1
bind,1
enrich,1
execute,1
dove,1
congregate,1
consulate,1
rush,1
shake,1
jog,1
terrorize,1
suffice,1
crept,1
hear,2
urge,2
walk,2
firmn,1
predominate,1
beg,1
teach,1
echo,1
prohibit,2
crack,1
shape,1
undertook,1
reaffirm,1
flourish,1
shoot,1
relate,1
purchase,1
vote,2
disobey,1
condemns,1
govern,1
flee,1
thank,1
send,2
comprise,2
stage,1
destabilize,1
specialize,1
dare,1
prescribe,1
lower,1
expand,1
accountable,1
slam,1
revere,1
set,1
consult,1
soar,1
mediate,1
drop,1
like,1
mourn,1
concede,1
surround,1
intersect,1
praise,1
understand,1
sustain,1
analyze,1
recruit,1
sealed-off,1
elect,1
prefer,1
erode,1
equate,1
reveal,1
rattle,1
dismantle,2
test,1
invent,1
deteriorate,1
express,1
ask,2
beat,1
oppress,1
change,1
mingle,1
luxuriate,1
subscribe,1
last,1
exchange,1
abstain,1
service,1
